2019-06-11 21:59:39: Turning Off Copy Attributes, as one of file systems does not support it
2019-06-11 21:59:39: Turning Off Copy Symbolic Links, as one of file systems does not support it. You may want to consider using Job -> Options -> Advanced -> Links -> Drill Down, if you need to copy folder to which the link points
2019-06-11 21:59:40: -- 分析开始 User Command
2019-06-11 22:00:13: 变更：279， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 405
2019-06-11 22:00:13: Left to Right: Copy File: 279 
2019-06-11 22:00:13: -- 分析已结束。历时 00:00:34, 速度： 11 文件/秒
2019-06-11 22:00:13: 
2019-06-11 22:00:22: == 同步开始由 User Command
2019-06-11 22:00:25: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/about/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/about/index.html' (14,262)
2019-06-11 22:00:26: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/about/时光之笔的LBM交流群群二维码.png' -> 'ftp://vhost521.cloudvhost.cn/WEB/about/时光之笔的LBM交流群群二维码.png' (15,688)
2019-06-11 22:00:27: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/05/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/05/index.html' (13,020)
2019-06-11 22:00:28: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/06/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/06/index.html' (19,607)
2019-06-11 22:00:29: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/06/page/2/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/06/page/2/index.html' (12,539)
2019-06-11 22:00:30: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/09/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/09/index.html' (12,338)
2019-06-11 22:00:30: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/10/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/10/index.html' (12,308)
2019-06-11 22:00:31: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/index.html' (19,662)
2019-06-11 22:00:33: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2018/page/2/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2018/page/2/index.html' (18,591)
2019-06-11 22:00:34: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/archives/2019/03/index.html' -> 'ftp://vhost521.cloudvhost.cn/WEB/archives/2019/03/index.html' (13,377)
